Date,Price,Open,High,Low,Vol.,Change %,SMA-20,BB-upper,BB-lower,Gain / Loss,Average Gain,Average loss,RS,RSI
20-Mar-18,2723.50,2721.50,2729.00,2712.75,1.10M,0.03%,"2,735.74",2796.997224,2674.485776,0.75,9.754,-9.279,1.051190861,51.24783271
19-Mar-18,2722.75,2756.25,2756.50,2697.25,1.99M,-1.06%,"2,735.27",2797.066821,2673.466179,-29.08,9.7165,-10.1165,0.960460634,48.99157969
16-Mar-18,2751.83,2753.75,2757.00,2747.00,46.76K,0.01%,"2,735.67",2797.228817,2674.104183,0.33,9.7165,-9.1375,1.063365253,51.53548319
15-Mar-18,2751.50,2750.75,2763.50,2741.00,358.57K,0.06%,"2,735.09",2796.226099,2673.948901,1.75,9.9625,-9.1375,1.090287278,52.15968586
14-Mar-18,2749.75,2763.00,2779.50,2744.25,766.90K,-0.68%,"2,734.26",2794.91194,2673.61306,-18.75,9.925,-9.1375,1.086183311,52.06557377
13-Mar-18,2768.50,2782.25,2802.50,2758.50,1.23M,-0.56%,"2,733.48",2793.685136,2673.264864,-15.5,11.775,-8.2,1.43597561,58.94868586
12-Mar-18,2784.00,2784.00,2800.50,2779.00,1.23M,0.00%,"2,729.90",2789.843921,2669.956079,0,13.5375,-7.425,1.823232323,64.57960644
9-Mar-18,2784.00,2736.50,2787.00,2730.00,1.54M,1.63%,"2,723.79",2785.411845,2662.163155,44.75,13.8625,-7.425,1.867003367,65.12037581
8-Mar-18,2739.25,2722.50,2740.50,2720.00,1.50M,0.59%,"2,717.35",2779.388061,2655.311939,16,13.4375,-7.425,1.80976431,64.40982624
7-Mar-18,2723.25,2700.00,2730.25,2681.25,1.87M,-0.03%,"2,711.34",2786.383499,2636.291501,-0.75,13.9125,-7.425,1.873737374,65.20210896
6-Mar-18,2724.00,2719.00,2734.50,2710.25,1.45M,0.20%,"2,704.85",2796.218024,2613.481976,5.5,13.9125,-11.125,1.250561798,55.56665002
5-Mar-18,2718.50,2683.25,2727.75,2663.75,1.78M,1.05%,"2,702.06",2794.367469,2609.757531,28.25,13.6375,-12.425,1.097585513,52.32613909
2-Mar-18,2690.25,2678.75,2696.00,2647.00,2.17M,0.45%,"2,700.85",2792.882517,2608.817483,12,16.55,-12.425,1.331991952,57.11820535
1-Mar-18,2678.25,2718.25,2731.00,2658.50,2.82M,-1.34%,"2,696.73",2797.7173,2595.7327,-36.25,15.95,-19.875,0.802515723,44.52198186
28-Feb-18,2714.50,2746.50,2762.00,2712.00,1.88M,-1.20%,"2,700.65",2804.675225,2596.624775,-33,15.95,-21.35,0.7470726,42.7613941
